ID,myCity,usage,scale,category,area,perimeter,rentPriceabs,rentPriceNorm,vacant,diversityNorm,max_height,nbFloors,FAR,type,supported_people,neighbourhood,dorm,luxury,location.x,location.y
0,city(0),O,M,Restaurant,3529.8095178816416,255.80265254194725,0.0,0.0,0,0.0,35.0,3,0.75,BLDG,0,The Port,0,0,278.99910389069515,681.197963663323
1,city(0),R,M,R,328.3222875126152,89.24944424788029,1468.555724472429,0.8855026109045342,5,0.0,35.0,3,1.0,BLDG,15,The Port,0,0,140.4542802556029,632.67358547653
2,city(0),R,M,R,65.99399960927511,33.963452645569454,1480.031042498378,0.9012323023601904,3,0.0,35.0,3,0.25,BLDG,3,The Port,0,0,124.07095775593207,756.6829348329039
3,city(0),R,M,R,62.535678042579654,31.985883525123924,1479.108475404191,0.8999677016139727,3,0.0,35.0,3,0.25,BLDG,3,The Port,0,0,128.71109173116886,743.0033639840848
4,city(0),R,M,Shopping,103.45919292757146,47.19750943149528,1492.2147903850314,0.9179330678289288,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,246.69677939495475,773.1656270059615
5,city(0),R,M,Shopping,88.6987430142121,44.029437126048904,1492.6102413221315,0.918475128729757,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,244.08837957758521,778.7340095810197
6,city(0),R,M,R,70.30692702811423,37.86648549696747,1490.2863109539721,0.9152896215766728,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,231.19696262602304,766.0895845092679
7,city(0),R,L,R,123.25845572488141,46.0674824398943,1491.8406014207605,0.9174201515907224,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,256.47656292652687,762.9743876847206
8,city(0),R,L,R,72.60067233785661,38.195878147619524,1491.0138153566463,0.9162868418507271,0,0.0,35.0,3,1.0,BLDG,0,The Port,0,0,250.44005380471427,759.3655284773773
9,city(0),R,M,R,83.11210375300548,42.40654971885206,1490.4001951132946,0.915445727288408,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,243.1036426261869,758.6925578788228
10,city(0),R,M,R,73.56422969524306,38.40282745206092,1489.316135901765,0.9139597626398934,3,0.0,35.0,3,1.0,BLDG,3,The Port,0,0,236.0776989843161,753.5014231437467
11,city(0),R,S,R,453.49046164458736,90.83202680753502,1487.8187933207912,0.9119072934404452,0,0.872114901639736,35.0,3,1.0,BLDG,90,The Port,0,0,222.62640548236885,749.1503030333881
12,city(0),R,M,R,249.65928554628908,70.43907421748708,1487.1817089945623,0.9110340156924861,2,0.0,35.0,3,1.0,BLDG,12,The Port,0,0,208.7704970280438,753.4914535102203
13,city(0),R,M,R,119.37208477390793,48.544448136170345,1484.6188577324065,0.9075210098211638,6,0.0,35.0,3,1.0,BLDG,6,The Port,0,0,232.44656674272557,712.7657927427783
14,city(0),R,M,R,122.11839705663219,57.431254534365195,1488.1669507636211,0.9123845271991368,6,0.0,35.0,3,1.0,BLDG,6,The Port,0,0,256.49835615368534,729.2384871048546
15,city(0),O,M,O,841.9261488437123,128.99934355073339,0.0,0.0,0,0.0,70.0,7,2.75,BLDG,0,The Port,0,0,295.51982472068306,853.4401263194412
16,city(0),O,M,O,748.4923332174211,111.1050931204241,0.0,0.0,0,0.0,70.0,7,2.75,BLDG,0,The Port,0,0,316.4331987855706,800.5332424007082
17,city(0),O,M,O,336.3410179727142,74.00176655514082,0.0,0.0,0,0.0,70.0,7,2.75,BLDG,0,The Port,0,0,304.7918647457133,825.8138429354918
18,city(0),O,M,O,2090.1846548221283,193.722463446372,0.0,0.0,0,0.0,70.0,7,2.75,BLDG,0,The Port,0,0,270.72497711789316,809.2713704974072
19,city(0),R,M,R,86.13995279447144,37.28791853175999,1491.6655089856731,0.9171801451722583,3,0.0,35.0,3,0.75,BLDG,3,The Port,0,0,223.2170518729367,785.1833132008346
20,city(0),R,M,R,82.13112909111848,38.22728625902914,1490.2731356923382,0.9152715617024383,3,0.0,35.0,3,0.75,BLDG,3,The Port,0,0,213.85288226878063,779.064927449176
21,city(0),O,M,O,657.596904563895,122.61026279446685,0.0,0.0,0,0.0,45.0,4,1.75,BLDG,0,The Port,0,0,252.0957656157212,848.3013917296532
22,city(0),R,M,R,2245.5885993732873,557.0033562352016,1505.592251600193,0.936270105364505,0,0.7487364147061164,35.0,3,0.75,BLDG,120,The Port,0,0,165.85968918913136,999.5908870187061
23,city(0),R,M,R,485.07051179378084,137.75126750811427,1509.8315865490829,0.9420811365335258,4,0.0,35.0,3,0.75,BLDG,24,The Port,0,0,246.2916903433026,951.7099465987534
24,city(0),R,M,R,479.7612327758794,135.82095000893997,1506.5743463570857,0.9376163031318527,4,0.463899554207236,35.0,3,0.75,BLDG,24,The Port,0,0,216.11406823509324,945.828312812683
25,city(0),R,M,R,478.2634381902973,102.34420625773906,1502.2407783451263,0.9316761028187912,4,0.0,35.0,3,0.75,BLDG,24,The Port,0,0,188.47364788034017,927.2054062442156
26,city(0),R,M,R,476.4197916353546,135.44403357171876,1498.4364216372503,0.9264613142554742,4,0.463899554207236,35.0,3,0.75,BLDG,24,The Port,0,0,159.23911832058772,918.046777452981
27,city(0),R,M,R,469.91728351993754,134.93155125091366,1494.6950678670398,0.9213328864159329,4,0.0,35.0,3,0.75,BLDG,24,The Port,0,0,128.82639577266605,912.8100582692624
28,city(0),R,M,R,498.7710983360308,138.49809284343243,1490.4538474510566,0.9155192707594442,7,0.0,35.0,3,0.75,BLDG,27,The Port,0,0,99.74255950429055,900.9576077858051
29,city(0),R,M,R,477.09771574510506,135.36111859238378,1503.1344111543954,0.9329010421479382,4,0.463899554207236,35.0,3,0.75,BLDG,24,The Port,0,0,231.4433402055079,893.3021678897046
30,city(0),R,M,R,488.9275741398642,137.25310982801386,1499.2250337086696,0.9275422973300679,4,0.463899554207236,35.0,3,0.75,BLDG,24,The Port,0,0,207.1224834786352,874.7100821829309
31,city(0),R,M,R,476.283703175514,135.4952485451467,1495.1725240404205,0.9219873552745644,4,0.463899554207236,35.0,3,0.75,BLDG,24,The Port,0,0,176.88468922406574,861.5668314658068
32,city(0),R,M,R,479.6272428648415,135.51342418163225,1491.18346700291,0.9165193903556693,4,0.0,35.0,3,0.75,BLDG,24,The Port,0,0,154.4313747099904,842.1754326045367
33,city(0),R,M,R,501.4892461661594,143.38983256960026,1483.3289460475562,0.9057528747017833,7,0.463899554207236,35.0,3,0.75,BLDG,27,The Port,0,0,109.89419503957303,805.7662601289073
34,city(0),R,L,R,112.12249753745297,44.21844516272545,1477.479762452825,0.8977351576324564,3,0.0,35.0,3,0.75,BLDG,3,The Port,0,0,108.95838098038388,745.5386393569743
35,city(0),R,S,R,114.91548239423398,47.33052544731793,1483.8446188581815,0.9064597286804587,1,0.0,35.0,3,0.75,BLDG,21,The Port,0,0,181.40765874007195,743.2934681396455
36,city(0),R,S,R,84.04758927105102,39.840409540882256,1476.7357904549076,0.8967153645467723,5,0.0,35.0,3,0.75,BLDG,15,The Port,0,0,112.13762735705262,734.935383591323
37,city(0),R,M,R,103.14572497941317,43.545294526150656,1480.0038206931438,0.9011949883096141,3,0.0,35.0,3,0.75,BLDG,3,The Port,0,0,153.51048974875172,729.6230123311057
38,city(0),R,S,R,110.06825103870446,44.20386888161673,1483.2323311716518,0.9056204407087065,1,0.463899554207236,35.0,3,0.75,BLDG,21,The Port,0,0,191.33085963057457,729.6104467675622
39,city(0),R,L,R,172.19997323372414,58.34960358486859,1476.6388113397797,0.896582431275977,3,0.0,35.0,3,0.75,BLDG,3,The Port,0,0,118.99342692230283,727.4947430640896
40,city(0),R,S,R,86.73263633358016,41.43364099013135,1481.731746969477,0.9035635280854513,5,0.0,35.0,3,0.75,BLDG,15,The Port,0,0,180.9043215537822,723.6080983069339
41,city(0),R,M,R,198.5195730871392,69.31602900989566,1480.8723064510061,0.9023854575387819,9,0.0,35.0,3,0.75,BLDG,9,The Port,0,0,169.28205447903065,724.7790183071908
42,city(0),R,M,R,115.89684853663621,49.917396931564696,1475.6264370820304,0.8951947281486183,6,0.0,35.0,3,0.75,BLDG,6,The Port,0,0,122.21466066791338,714.5645888670277
