cycle,walking,bike,car,bus,average_speed,walk_distance,bike_distance,car_distance,bus_distance, bus_people_distance
0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
100,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
200,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
300,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
400,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
500,16,29,59,2,3.614,4.8499999999999925,12.416666666666686,52.33333333333343,0.06666666666666667,0.06666666666666667
600,34,41,103,2,8.068,27.26666666666691,51.50000000000037,420.3333333333269,0.21666666666666665,0.21666666666666665
700,76,57,10,34,10.5,74.84999999999857,63.08333333333403,439.6666666666591,0.8666666666666677,2.6333333333333337
800,0,0,0,0,10.5,20.00000000000015,33.33333333333319,433.33333333332615,0.0,0.0
900,0,0,0,0,10.5,20.00000000000015,33.33333333333319,433.33333333332615,0.0,0.0
1000,0,0,0,0,10.5,20.00000000000015,33.33333333333319,433.33333333332615,0.0,0.0
